customer_id,first_name,last_name,email,phone,signup_date,city,state,country,postal_code,customer_segment,batch_date
1,Lorraine,Smith,lorraine.smith1@outlook.com,637909542700,2022-02-08,Bacolod,Negros Occidental,Philippines,2824,New,full_load
2,Tara,Smith,tara.smith2@gmail.com,636462251094,2025-02-18,Taguig,Metro Manila,Philippines,3286,Returning,full_load
3,Seth,Hoover,seth.hoover3@outlook.com,636306524827,2022-05-16,Marikina,Metro Manila,Philippines,9935,New,full_load
4,Shawn,Koch,shawn.koch4@gmail.com,639373735150,2022-12-06,Quezon City,Metro Manila,Philippines,2535,Returning,full_load
5,Cory,Turner,cory.turner5@outlook.com,634662054529,2025-01-17,Quezon City,Metro Manila,Philippines,4257,Returning,full_load
6,Cesar,Spencer,cesar.spencer6@outlook.com,631223349827,2023-11-29,Davao City,Davao del Sur,Philippines,4611,New,full_load
7,Andrew,Lewis,andrew.lewis7@gmail.com,634826820676,2025-03-24,Muntinlupa,Metro Manila,Philippines,1106,Returning,full_load
8,Kerri,Knight,kerri.knight8@gmail.com,637799231158,2022-08-30,Cebu City,Cebu,Philippines,5552,VIP,full_load
9,Emma,Lowe,emma.lowe9@yahoo.com,631281201069,2022-05-25,Cebu City,Cebu,Philippines,2674,New,full_load
10,Timothy,Powell,timothy.powell10@yahoo.com,639522359720,2024-07-26,Muntinlupa,Metro Manila,Philippines,6635,Returning,full_load
11,Stacy,Wagner,stacy.wagner11@gmail.com,635231186513,2024-04-13,Parañaque,Metro Manila,Philippines,8527,VIP,full_load
12,Christopher,Mann,christopher.mann12@yahoo.com,634608986459,2024-05-07,Davao City,Davao del Sur,Philippines,2291,Returning,full_load
13,Katherine,Ritter,katherine.ritter13@gmail.com,632722558316,2024-06-15,Cagayan de Oro,Misamis Oriental,Philippines,6925,Returning,full_load
14,Jessica,House,jessica.house14@yahoo.com,635384992220,2025-04-15,Quezon City,Metro Manila,Philippines,4733,VIP,full_load
15,Christine,Johnson,christine.johnson15@gmail.com,639216262330,2025-09-08,Muntinlupa,Metro Manila,Philippines,4814,New,full_load
16,Cathy,Smith,cathy.smith16@yahoo.com,630021025963,2022-09-10,Iloilo City,Iloilo,Philippines,6977,New,full_load
17,Miguel,Ramirez,miguel.ramirez17@outlook.com,632728122117,2024-12-26,Bacolod,Negros Occidental,Philippines,5374,Returning,full_load
18,Beth,Mckenzie,beth.mckenzie18@outlook.com,633504464606,2024-04-09,Cagayan de Oro,Misamis Oriental,Philippines,3803,New,full_load
19,Melissa,Cardenas,melissa.cardenas19@outlook.com,636557346835,2023-02-24,Iloilo City,Iloilo,Philippines,7216,Returning,full_load
20,Leslie,Saunders,leslie.saunders20@gmail.com,636816788976,2025-08-02,Taguig,Metro Manila,Philippines,6313,New,full_load
21,Donna,Brown,donna.brown21@yahoo.com,631653131830,2023-09-16,Quezon City,Metro Manila,Philippines,6168,New,full_load
22,Amy,Wolf,amy.wolf22@outlook.com,636424917365,2022-11-27,Marikina,Metro Manila,Philippines,6155,Returning,full_load
23,Stephen,Schwartz,stephen.schwartz23@yahoo.com,639251599369,2022-08-10,Marikina,Metro Manila,Philippines,8517,New,full_load
24,Molly,Riley,molly.riley24@outlook.com,632344867419,2023-02-13,Parañaque,Metro Manila,Philippines,9830,Returning,full_load
25,William,Cohen,william.cohen25@gmail.com,635006203618,2023-07-17,Marikina,Metro Manila,Philippines,7543,VIP,full_load
26,Timothy,Solomon,timothy.solomon26@gmail.com,635931128145,2024-02-06,Makati,Metro Manila,Philippines,9348,Returning,full_load
27,Joseph,Gray,joseph.gray27@outlook.com,632958752513,2022-08-26,Muntinlupa,Metro Manila,Philippines,2796,New,full_load
28,Karen,Fisher,karen.fisher28@gmail.com,630077673126,2024-07-15,Bacolod,Negros Occidental,Philippines,7916,New,full_load
29,Lindsey,Anderson,lindsey.anderson29@yahoo.com,638905253498,2024-04-01,Cagayan de Oro,Misamis Oriental,Philippines,8668,VIP,full_load
30,Adam,Green,adam.green30@outlook.com,633783706533,2024-11-22,Muntinlupa,Metro Manila,Philippines,1188,New,full_load
31,Andrew,Stewart,andrew.stewart31@yahoo.com,638051175959,2025-03-12,Marikina,Metro Manila,Philippines,9797,Returning,full_load
32,Adrian,Sanders,adrian.sanders32@yahoo.com,634788470209,2023-04-01,Cebu City,Cebu,Philippines,2827,New,full_load
33,Emily,Andrews,emily.andrews33@gmail.com,636114793482,2024-02-17,Quezon City,Metro Manila,Philippines,5315,Returning,full_load
34,Mary,Frye,mary.frye34@outlook.com,632610386127,2025-07-31,Manila,Metro Manila,Philippines,5889,Returning,full_load
35,Kyle,Parker,kyle.parker35@gmail.com,633045848611,2023-08-04,Taguig,Metro Manila,Philippines,3504,Returning,full_load
36,Todd,Robertson,todd.robertson36@gmail.com,639240443072,2025-11-27,Las Piñas,Metro Manila,Philippines,9689,Returning,full_load
37,Edwin,Riley,edwin.riley37@yahoo.com,631790676851,2022-06-23,Iloilo City,Iloilo,Philippines,1319,Returning,full_load
38,Tiffany,Dean,tiffany.dean38@gmail.com,632947421902,2023-01-07,Muntinlupa,Metro Manila,Philippines,6038,New,full_load
39,Caitlin,Reese,caitlin.reese39@outlook.com,636164548794,2022-05-14,Cagayan de Oro,Misamis Oriental,Philippines,2290,Returning,full_load
40,Shelby,Cannon,shelby.cannon40@gmail.com,638449621178,2025-04-04,Manila,Metro Manila,Philippines,9727,New,full_load
41,Robert,Acosta,robert.acosta41@outlook.com,635446920891,2023-02-16,Iloilo City,Iloilo,Philippines,3705,Returning,full_load
42,Justin,Sampson,justin.sampson42@outlook.com,639302320411,2025-12-14,Davao City,Davao del Sur,Philippines,4470,Returning,full_load
43,Julia,Espinoza,julia.espinoza43@yahoo.com,636143738627,2025-01-12,Parañaque,Metro Manila,Philippines,4295,New,full_load
44,Cindy,Davis,cindy.davis44@outlook.com,633160942053,2023-11-12,Bacolod,Negros Occidental,Philippines,7118,Returning,full_load
45,Christopher,Smith,christopher.smith45@yahoo.com,637911183653,2022-04-10,Taguig,Metro Manila,Philippines,4681,New,full_load
46,Jill,Mcintyre,jill.mcintyre46@gmail.com,632269105631,2024-07-03,Baguio,Benguet,Philippines,4770,New,full_load
47,Matthew,Barrett,matthew.barrett47@gmail.com,636090819812,2022-12-22,Parañaque,Metro Manila,Philippines,1964,VIP,full_load
48,Melinda,Smith,melinda.smith48@outlook.com,632541507746,2022-04-21,Muntinlupa,Metro Manila,Philippines,6413,New,full_load
49,Susan,Estrada,susan.estrada49@outlook.com,631985599132,2022-11-29,Bacolod,Negros Occidental,Philippines,8953,New,full_load
50,Olivia,Carrillo,olivia.carrillo50@yahoo.com,635082895289,2023-01-13,Marikina,Metro Manila,Philippines,8744,Returning,full_load
51,Robert,Smith,robert.smith51@outlook.com,630147755021,2022-05-31,Taguig,Metro Manila,Philippines,2545,New,full_load
52,Frank,Hammond,frank.hammond52@outlook.com,631388319493,2023-12-27,Davao City,Davao del Sur,Philippines,7735,New,full_load
53,Elizabeth,Smith,elizabeth.smith53@yahoo.com,630863647375,2022-04-05,Bacolod,Negros Occidental,Philippines,2612,Returning,full_load
54,Brandon,Nichols,brandon.nichols54@gmail.com,635543947599,2023-01-22,Las Piñas,Metro Manila,Philippines,2790,New,full_load
55,Angela,Perry,angela.perry55@gmail.com,635990783929,2023-10-18,Iloilo City,Iloilo,Philippines,3296,New,full_load
56,Patrick,Johnson,patrick.johnson56@outlook.com,631400458915,2023-11-20,Taguig,Metro Manila,Philippines,2235,New,full_load
57,Jonathan,Obrien,jonathan.obrien57@gmail.com,630966478035,2025-07-22,Bacolod,Negros Occidental,Philippines,9856,VIP,full_load
58,William,Smith,william.smith58@yahoo.com,637997812564,2022-09-16,Marikina,Metro Manila,Philippines,4872,Returning,full_load
59,Michelle,Simpson,michelle.simpson59@gmail.com,632117126636,2025-11-02,Taguig,Metro Manila,Philippines,7570,New,full_load
60,Connie,Bentley,connie.bentley60@yahoo.com,635546687181,2023-02-16,Quezon City,Metro Manila,Philippines,7396,New,full_load
61,Brent,Whitney,brent.whitney61@gmail.com,636999104789,2022-08-29,Parañaque,Metro Manila,Philippines,8973,New,full_load
62,Kimberly,Ali,kimberly.ali62@outlook.com,633002990389,2022-04-05,Quezon City,Metro Manila,Philippines,9883,New,full_load
63,Patricia,Brown,patricia.brown63@outlook.com,639093471158,2024-02-21,Quezon City,Metro Manila,Philippines,8811,New,full_load
64,Tyler,Hunt,tyler.hunt64@gmail.com,634590977486,2025-08-15,Baguio,Benguet,Philippines,2312,New,full_load
65,Jessica,Contreras,jessica.contreras65@gmail.com,634531914656,2023-09-20,Manila,Metro Manila,Philippines,4853,VIP,full_load
66,Gail,Wright,gail.wright66@outlook.com,630496569136,2024-06-18,Cagayan de Oro,Misamis Oriental,Philippines,5033,New,full_load
67,Emily,Mckenzie,emily.mckenzie67@outlook.com,630681634218,2024-10-18,Manila,Metro Manila,Philippines,7868,Returning,full_load
68,Sean,Gonzalez,sean.gonzalez68@outlook.com,634795260381,2022-11-14,Cebu City,Cebu,Philippines,5272,Returning,full_load
69,Matthew,Phillips,matthew.phillips69@gmail.com,637821128010,2023-09-07,Taguig,Metro Manila,Philippines,5351,Returning,full_load
70,Kristin,Levine,kristin.levine70@gmail.com,639003111537,2023-05-07,Pasig,Metro Manila,Philippines,8491,New,full_load
71,Autumn,Cox,autumn.cox71@outlook.com,630823469836,2022-04-24,Cagayan de Oro,Misamis Oriental,Philippines,2638,New,full_load
72,Victor,Walker,victor.walker72@yahoo.com,635192346148,2025-12-20,Pasig,Metro Manila,Philippines,3170,Returning,full_load
73,Jennifer,Kim,jennifer.kim73@yahoo.com,631440307560,2023-07-29,Marikina,Metro Manila,Philippines,5002,New,full_load
74,Robert,Bell,robert.bell74@yahoo.com,634360246025,2024-12-28,Muntinlupa,Metro Manila,Philippines,9900,Returning,full_load
75,Jason,Black,jason.black75@outlook.com,632789499625,2022-01-13,Las Piñas,Metro Manila,Philippines,9666,Returning,full_load
76,William,Sanders,william.sanders76@gmail.com,631679305153,2025-12-29,Pasig,Metro Manila,Philippines,2697,New,full_load
77,Emily,Stewart,emily.stewart77@outlook.com,634361757854,2025-02-27,Marikina,Metro Manila,Philippines,2753,New,full_load
78,Marcus,Walker,marcus.walker78@yahoo.com,632842529501,2025-01-19,Pasig,Metro Manila,Philippines,4450,New,full_load
79,Richard,Reilly,richard.reilly79@yahoo.com,635251677041,2024-02-25,Bacolod,Negros Occidental,Philippines,5325,New,full_load
80,Jeffrey,Anderson,jeffrey.anderson80@outlook.com,633024113629,2022-05-24,Marikina,Metro Manila,Philippines,1832,New,full_load
81,Kristin,Holmes,kristin.holmes81@yahoo.com,634915401611,2022-01-06,Pasig,Metro Manila,Philippines,1722,Returning,full_load
82,Mark,Miles,mark.miles82@outlook.com,633556393276,2022-09-09,Bacolod,Negros Occidental,Philippines,5291,New,full_load
83,Holly,Roberts,holly.roberts83@gmail.com,639172446780,2024-05-21,Parañaque,Metro Manila,Philippines,8007,New,full_load
84,Tyler,Gomez,tyler.gomez84@gmail.com,635637498574,2024-04-27,Marikina,Metro Manila,Philippines,3442,Returning,full_load
85,Kathleen,Robinson,kathleen.robinson85@gmail.com,630683930024,2023-10-30,Cagayan de Oro,Misamis Oriental,Philippines,3426,New,full_load
86,John,Hernandez,john.hernandez86@yahoo.com,635560017532,2025-10-28,Cebu City,Cebu,Philippines,1653,New,full_load
87,Nicholas,White,nicholas.white87@outlook.com,638630608960,2023-07-04,Taguig,Metro Manila,Philippines,2684,Returning,full_load
88,Chad,Turner,chad.turner88@gmail.com,631425875631,2025-12-09,Davao City,Davao del Sur,Philippines,3532,Returning,full_load
89,Tina,Wilson,tina.wilson89@yahoo.com,639107509808,2025-10-01,Las Piñas,Metro Manila,Philippines,3900,New,full_load
90,Dustin,Rhodes,dustin.rhodes90@yahoo.com,638746519461,2025-04-30,Parañaque,Metro Manila,Philippines,6442,Returning,full_load
91,Timothy,Cook,timothy.cook91@gmail.com,638133373120,2023-02-19,Muntinlupa,Metro Manila,Philippines,5065,Returning,full_load
92,Tammy,Snyder,tammy.snyder92@gmail.com,633790338601,2025-09-16,Manila,Metro Manila,Philippines,7267,Returning,full_load
93,Rachael,Richards,rachael.richards93@yahoo.com,637723891860,2025-06-22,Taguig,Metro Manila,Philippines,4269,New,full_load
