customer_id,first_name,last_name,email,phone,signup_date,city,state,country,postal_code,customer_segment,batch_date
5001,Keith,Hayes,keith.hayes5001@gmail.com,631044731003,2026-07-12,Pasig,Metro Manila,Philippines,5012,Returning,2026-07-12
5002,Kevin,Becker,kevin.becker5002@outlook.com,634697133320,2026-07-12,Bacolod,Negros Occidental,Philippines,9935,New,2026-07-12
5003,Lonnie,Johnson,lonnie.johnson5003@gmail.com,636019903290,2026-07-12,Quezon City,Metro Manila,Philippines,2535,Returning,2026-07-12
5004,Jennifer,Webb,jennifer.webb5004@outlook.com,630800116368,2026-07-12,Quezon City,Metro Manila,Philippines,4257,Returning,2026-07-12
5005,Jermaine,Martin,jermaine.martin5005@yahoo.com,636498077014,2026-07-12,Taguig,Metro Manila,Philippines,8359,Returning,2026-07-12
5006,Jean,Ware,jean.ware5006@yahoo.com,635341522971,2026-07-12,Quezon City,Metro Manila,Philippines,3615,New,2026-07-12
5007,Kathleen,Ramirez,kathleen.ramirez5007@gmail.com,636186142982,2026-07-12,Taguig,Metro Manila,Philippines,6514,New,2026-07-12
5008,Arthur,Vasquez,arthur.vasquez5008@yahoo.com,637574902587,2026-07-12,Cebu City,Cebu,Philippines,6635,Returning,2026-07-12
5009,Lauren,Mejia,lauren.mejia5009@gmail.com,638412324187,2026-07-12,Parañaque,Metro Manila,Philippines,8527,VIP,2026-07-12
5010,Cynthia,Young,cynthia.young5010@yahoo.com,639868111909,2026-07-12,Davao City,Davao del Sur,Philippines,2291,Returning,2026-07-12
5011,Andrew,Pratt,andrew.pratt5011@gmail.com,638022108912,2026-07-12,Cagayan de Oro,Misamis Oriental,Philippines,6925,Returning,2026-07-12
5012,Kevin,Rush,kevin.rush5012@gmail.com,630682258098,2026-07-12,Quezon City,Metro Manila,Philippines,4733,Returning,2026-07-12
5013,Patricia,Fernandez,patricia.fernandez5013@yahoo.com,639485129987,2026-07-12,Muntinlupa,Metro Manila,Philippines,2654,Returning,2026-07-12
5014,Megan,Santiago,megan.santiago5014@yahoo.com,631685621425,2026-07-12,Muntinlupa,Metro Manila,Philippines,6977,New,2026-07-12
