customer_id,first_name,last_name,email,phone,signup_date,city,state,country,postal_code,customer_segment,batch_date
1,Cynthia,Hernandez,cynthia.hernandez1@outlook.com,13707068635,2022-02-08,Bacolod,Negros Occidental,Philippines,2824,New,full_load
2,Thomas,Martinez,thomas.martinez2@gmail.com,37378941913,2025-02-18,Taguig,Metro Manila,Philippines,3286,Returning,full_load
3,Jennifer,James,jennifer.james3@outlook.com,2668417000,2022-05-16,Marikina,Metro Manila,Philippines,9935,New,full_load
4,Jacqueline,Taylor,jacqueline.taylor4@gmail.com,83073527570,2022-12-06,Quezon City,Metro Manila,Philippines,2535,Returning,full_load
5,Jon,Vasquez,jon.vasquez5@outlook.com,66113567735,2025-01-17,Quezon City,Metro Manila,Philippines,4257,Returning,full_load
6,Joshua,Lowe,joshua.lowe6@outlook.com,78115680373,2023-11-29,Davao City,Davao del Sur,Philippines,4611,New,full_load
7,Cody,Price,cody.price7@gmail.com,67960377978,2025-03-24,Muntinlupa,Metro Manila,Philippines,1106,Returning,full_load
8,Travis,Watkins,travis.watkins8@gmail.com,54720663201,2022-08-30,Cebu City,Cebu,Philippines,5552,VIP,full_load
9,Brianna,Jones,brianna.jones9@yahoo.com,54225400851,2022-05-25,Cebu City,Cebu,Philippines,2674,New,full_load
10,Ian,Grant,ian.grant10@yahoo.com,12221562048,2024-07-26,Muntinlupa,Metro Manila,Philippines,6635,Returning,full_load
11,Stephanie,Wise,stephanie.wise11@gmail.com,27476150135,2024-04-13,Parañaque,Metro Manila,Philippines,8527,VIP,full_load
12,Dawn,Reed,dawn.reed12@yahoo.com,23526498514,2024-05-07,Davao City,Davao del Sur,Philippines,2291,Returning,full_load
13,Michelle,Clark,michelle.clark13@gmail.com,23795343264,2024-06-15,Cagayan de Oro,Misamis Oriental,Philippines,6925,Returning,full_load
14,Matthew,Washington,matthew.washington14@yahoo.com,52072462050,2025-04-15,Quezon City,Metro Manila,Philippines,4733,VIP,full_load
15,James,Rivera,james.rivera15@gmail.com,62791813972,2025-09-08,Muntinlupa,Metro Manila,Philippines,4814,New,full_load
16,Randall,Hooper,randall.hooper16@yahoo.com,29378308309,2022-09-10,Iloilo City,Iloilo,Philippines,6977,New,full_load
17,Dawn,Williams,dawn.williams17@outlook.com,75653406972,2024-12-26,Bacolod,Negros Occidental,Philippines,5374,Returning,full_load
18,Frank,Austin,frank.austin18@outlook.com,81231029556,2024-04-09,Cagayan de Oro,Misamis Oriental,Philippines,3803,New,full_load
19,Meredith,Brooks,meredith.brooks19@outlook.com,59987593614,2023-02-24,Iloilo City,Iloilo,Philippines,7216,Returning,full_load
20,Jennifer,Lyons,jennifer.lyons20@gmail.com,65787648019,2025-08-02,Taguig,Metro Manila,Philippines,6313,New,full_load
21,Gerald,Thompson,gerald.thompson21@yahoo.com,73090833811,2023-09-16,Quezon City,Metro Manila,Philippines,6168,New,full_load
22,Eric,Warner,eric.warner22@outlook.com,72131629781,2022-11-27,Marikina,Metro Manila,Philippines,6155,Returning,full_load
23,Amy,Jones,amy.jones23@yahoo.com,66260220971,2022-08-10,Marikina,Metro Manila,Philippines,8517,New,full_load
24,Christian,Norris,christian.norris24@outlook.com,93561955365,2023-02-13,Parañaque,Metro Manila,Philippines,9830,Returning,full_load
25,James,Wright,james.wright25@gmail.com,53424833284,2023-07-17,Marikina,Metro Manila,Philippines,7543,VIP,full_load
26,Christina,Garcia,christina.garcia26@gmail.com,16387334460,2024-02-06,Makati,Metro Manila,Philippines,9348,Returning,full_load
27,Mary,Lopez,mary.lopez27@outlook.com,99287420140,2022-08-26,Muntinlupa,Metro Manila,Philippines,2796,New,full_load
28,Shane,Nelson,shane.nelson28@gmail.com,59824109889,2024-07-15,Bacolod,Negros Occidental,Philippines,7916,New,full_load
